Date,Cash,Credit,Total,Date,Checker,Actual_total
01/01/11,2589,1530.95,4119.95,Saturday,TRUE,4119.95
01/02/11,4775,3179.69,7954.69,Sunday,TRUE,7954.69
01/03/11,2498,913.37,3411.37,Monday,TRUE,3411.37
01/04/11,2510.45,958.43,3468.88,Tuesday,TRUE,3468.88
01/05/11,1912,511.9,2423.9,Wednesday,TRUE,2423.9
01/06/11,2128,634.11,2762.11,Thursday,TRUE,2762.11
01/07/11,2575.56,1005.84,3581.4,Friday,TRUE,3581.4
01/08/11,3633,1019,4652,Saturday,TRUE,4652
01/09/11,6136,2707.71,8843.71,Sunday,TRUE,8843.71
01/10/11,1512,553.23,2065.23,Monday,TRUE,2065.23
01/11/11,2128,887.78,3015.78,Tuesday,TRUE,3015.78
01/12/11,1662,491.44,2153.44,Wednesday,TRUE,2153.44
01/13/11,2081,914.68,2995.68,Thursday,TRUE,2995.68
01/14/11,2330.84,1171.02,3501.86,Friday,TRUE,3501.86
01/15/11,4375,1551.58,5926.58,Saturday,TRUE,5926.58
01/16/11,5171,2177.42,7348.42,Sunday,TRUE,7348.42
01/17/11,1672,907.4,2579.4,Monday,TRUE,2579.4
01/18/11,2109.36,561.61,2670.97,Tuesday,TRUE,2670.97
01/19/11,1879.73,1007.83,2887.56,Wednesday,TRUE,2887.56
01/20/11,2068,871.57,2939.57,Thursday,TRUE,2939.57
01/21/11,2448.87,1186.87,3635.74,Friday,TRUE,3635.74
01/22/11,3775,1640.49,5415.49,Saturday,TRUE,5415.49
01/23/11,5051.62,1892.38,6944,Sunday,TRUE,6944
01/24/11,2138.78,639.57,2778.35,Monday,TRUE,2778.35
01/25/11,2054,848.31,2902.31,Tuesday,TRUE,2902.31
01/26/11,1627,880.06,2507.06,Wednesday,TRUE,2507.06
01/27/11,1822.8,771.7,2594.5,Thursday,TRUE,2594.5
01/28/11,2375.14,1213.09,3588.23,Friday,TRUE,3588.23
01/29/11,3250,1821.75,5071.75,Saturday,TRUE,5071.75
01/30/11,6471.58,2793.3,9264.88,Sunday,TRUE,9264.88
01/31/11,1719,619.7,2338.7,Monday,TRUE,2338.7
02/01/11,2338,694.65,3032.65,Tuesday,TRUE,3032.65
02/02/11,1882,753.15,2635.15,Wednesday,TRUE,2635.15
02/03/11,2570,1345.8,3915.8,Thursday,TRUE,3915.8
02/04/11,3358,1432.06,4790.06,Friday,TRUE,4790.06
02/05/11,5000,2483.36,7483.36,Saturday,TRUE,7483.36
02/06/11,4753,2550.51,7303.51,Sunday,TRUE,7303.51
02/07/11,3076,925.25,4001.25,Monday,TRUE,4001.25
02/08/11,1917,896.76,2813.76,Tuesday,TRUE,2813.76
02/09/11,2040,952.89,2992.89,Wednesday,TRUE,2992.89
02/10/11,2418,795.19,3213.19,Thursday,TRUE,3213.19
02/11/11,3665,1308.31,4973.31,Friday,TRUE,4973.31
02/12/11,4376,2020.99,6396.99,Saturday,TRUE,6396.99
02/13/11,6799.48,3634.7,10434.18,Sunday,TRUE,10434.18
02/14/11,4608,2197.42,6805.42,Monday,TRUE,6805.42
02/15/11,1781.74,978.46,2760.2,Tuesday,TRUE,2760.2
02/16/11,1929.16,1265.28,3194.44,Wednesday,TRUE,3194.44
02/17/11,2013.69,986.88,3000.57,Thursday,TRUE,3000.57
02/18/11,2939,1314.58,4253.58,Friday,TRUE,4253.58
02/19/11,4214.5,2189.31,6403.81,Saturday,TRUE,6403.81
02/20/11,6474,4252.35,10726.35,Sunday,TRUE,10726.35
02/21/11,2769,1543.47,4312.47,Monday,TRUE,4312.47
02/22/11,1715.11,886.07,2601.18,Tuesday,TRUE,2601.18
02/23/11,2839.45,1365.97,4205.42,Wednesday,TRUE,4205.42
02/24/11,2403.74,1203.3,3607.04,Thursday,TRUE,3607.04
02/25/11,2886.91,1156.77,4043.68,Friday,TRUE,4043.68
02/26/11,3808,1857.55,5665.55,Saturday,TRUE,5665.55
02/27/11,6197,4010.8,10207.8,Sunday,TRUE,10207.8
02/28/11,2328,840,3168,Monday,TRUE,3168
03/01/11,2656.64,1093.16,3749.8,Tuesday,TRUE,3749.8
03/02/11,2832,990.78,3822.78,Wednesday,TRUE,3822.78
03/03/11,2748.8,1068.37,3817.17,Thursday,TRUE,3817.17
03/04/11,2642,1157.55,3799.55,Friday,TRUE,3799.55
03/05/11,3282.66,1933.53,5216.19,Saturday,TRUE,5216.19
03/06/11,6145,3174.4,9319.4,Sunday,TRUE,9319.4
